,Name,Price
0,"Redmi Note 6 Pro (Black, 64 GB)","₹13,999"
1,"Realme C1 (Navy Blue, 16 GB)","₹7,499"
2,"Realme C1 (Mirror Black, 16 GB)","₹7,499"
3,Niamia Cad 3,"₹1,950"
4,"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹13,999"
5,"Honor 7A (Blue, 32 GB)","₹7,999"
6,"Honor 7A (Black, 32 GB)","₹7,999"
7,"Honor 7A (Gold, 32 GB)","₹7,999"
8,"Realme 2 (Diamond Black, 32 GB)","₹9,499"
9,"Realme 2 (Diamond Black, 64 GB)","₹10,990"
10,"Realme 2 (Diamond Red, 32 GB)","₹9,499"
11,"Realme 2 (Diamond Blue, 32 GB)","₹9,499"
12,"Redmi Note 6 Pro (Black, 64 GB)","₹15,999"
13,Niamia Cad 3,"₹1,950"
14,"Samsung Galaxy On6 (Blue, 64 GB)","₹13,490"
15,"Redmi Note 6 Pro (Blue, 64 GB)","₹13,999"
16,"Redmi Note 6 Pro (Red, 64 GB)","₹13,999"
17,"Samsung Galaxy On8 (Blue, 64 GB)","₹16,990"
18,"Redmi Note 5 Pro (Black, 64 GB)","₹13,999"
19,Rocktel W7,₹559
20,"Samsung Galaxy On6 (Black, 64 GB)","₹13,490"
21,"Realme 2 Pro (Black Sea, 64 GB)","₹13,990"
22,"Realme 2 Pro (Black Sea, 64 GB)","₹15,990"
23,Niamia Cad1,₹999
